,Dimension,TagSet,hasSynonym
0,Equipment,Elevator,
1,Equipment,Energy Storage,
2,Equipment,Fire Safety System,
3,Equipment,Heating Ventilation Air Conditioning System,HVAC
4,Equipment,Lighting System,
5,Equipment,Power System,
6,Equipment,Solar Panel,
7,Equipment,Steam,
8,Equipment,Water System,WS
9,Equipment,Weather,
10,Equipment>Energy Storage,Battery,
11,Equipment>Energy Storage,Thermal Energy Storage,
12,Equipment>Fire Safety System,Fire Control Panel,FCP
13,Equipment>HVAC,Air Handler Unit,AHU
14,Equipment>HVAC,Coil,
15,Equipment>HVAC,Compressor,
16,Equipment>HVAC,Computer Room Air Conditioning,CRAC
17,Equipment>HVAC,Condenser,Condensor
18,Equipment>HVAC,Boiler,
19,Equipment>HVAC,Damper,
20,Equipment>HVAC,Economizer,
21,Equipment>HVAC,Fan,
22,Equipment>HVAC,Filter,
23,Equipment>HVAC,Fume Hood,
24,Equipment>HVAC,Pump,
25,Equipment>HVAC,Space Heater,
26,Equipment>HVAC,Terminal Unit,
27,Equipment>HVAC,Thermostat,
28,Equipment>HVAC,Valve,
29,Equipment>HVAC,Variable Frequency Drive,VFD
30,Equipment>HVAC>AHU,Heat Wheel VFD,
31,Equipment>HVAC>AHU,PreHeat Hot Water Valve,
32,Equipment>HVAC>AHU,PreHeat Valve VFD,
33,Equipment>HVAC>Coil,Cooling Coil,
34,Equipment>HVAC>Coil,Heat Exchanger,HX
35,Equipment>HVAC>Coil,Heating Coil,
36,Equipment>HVAC>CRAC,Emergency Power Off System,
37,Equipment>HVAC>CRAC,Standby CRAC Unit,
38,Equipment>HVAC>CWS,Chiller,
39,Equipment>HVAC>CWS,Cooling Coil,
40,Equipment>HVAC>CWS,Cooling Tower,
41,Equipment>HVAC>CWS,Cooling Tower Fan,
42,Equipment>HVAC>Damper,Economizer Damper,
43,Equipment>HVAC>Damper,Exhaust Air Damper,
44,Equipment>HVAC>Damper,Outside Air Damper,
45,Equipment>HVAC>Damper,Return Air Damper,
46,Equipment>HVAC>Fan,Exhaust Fan,
47,Equipment>HVAC>Fan,Return Fan,
48,Equipment>HVAC>Fan,Standby Fan,
49,Equipment>HVAC>Fan,Supply Fan,
50,Equipment>HVAC>Fan>Supply Fan,Booster Fan,
51,Equipment>HVAC>Filter,Mixed Air Filter,
52,Equipment>HVAC>Pump,Chilled Water Pump,
53,Equipment>HVAC>Pump,Hot Water Pump,
54,Equipment>HVAC>Terminal Unit,Fan Coil Unit,FCU
55,Equipment>HVAC>Terminal Unit,Variable Air Volume,VAV
56,Equipment>HVAC>Valve,Chilled Water Valve,
57,Equipment>HVAC>Valve,Cooling Valve,
58,Equipment>HVAC>Valve,Heating Valve,
59,Equipment>HVAC>Valve>Heating Valve,Domestic Hot Water Valve,
60,Equipment>HVAC>Valve>Heating Valve,Reheat Valve,
61,Equipment>Power System,Demand Response,
62,Equipment>Power System,Emergency Generator,
63,Equipment>Power System,Inverter,
64,Equipment>Valve,Isolation Valve,
65,Equipment>Water System,Chilled Water System,CWS
66,Equipment>Water System,Domestic Hot Water System,DHWS
67,Equipment>Water System,Hot Water System,HWS
68,Location,Building,
69,Location,Floor,
70,Location,Roof,
71,Location,Basement,
72,Location,Outside,
73,Location,City,
74,Location,Wing,
75,Location,Space,
76,Location,Room,
77,Location,Zone,
78,Location>Room,Laboratory,
79,Location>Room,Server Room,
80,Location>Room>Laboratory,Cold Box,
81,Location>Room>Laboratory,Environment Box,
82,Location>Room>Laboratory,Freezer,
83,Location>Room>Laboratory,Hot Box,
84,Location>Zone,HVAC Zone,
85,Location>Zone,Lighting Zone,
86,MeasurementProperty,Energy,
87,MeasurementProperty,Solar Radiance,
88,MeasurementProperty>Angle,Solar Azimuth Angle,
89,MeasurementProperty>Angle,Solar Zenith Angle,
90,MeasurementProperty>CO2,Outside Air CO2,
91,MeasurementProperty>CO2,Return Air CO2,
92,MeasurementProperty>Conductivity,Deionised Water Conductivity,
93,MeasurementProperty>Current,Motor Current,Load Current
94,MeasurementProperty>Current,Photovoltaic Current Output,"PV System Output, PV Current Output"
95,MeasurementProperty>Dewpoint,Outside Air Dewpoint,
96,MeasurementProperty>Dewpoint,Return Air Dewpoint,
97,MeasurementProperty>Direction,Wind Direction,
98,MeasurementProperty>Energy,Thermal Energy,
99,MeasurementProperty>Enthalpy,Outside Air Enthalpy,
100,MeasurementProperty>Enthalpy,Outside Enthalpy,
101,MeasurementProperty>Enthalpy,Return Air Enthalpy,
102,MeasurementProperty>Flow>Air Flow,Booster Fan Air Flow,
103,MeasurementProperty>Flow>Air Flow,Discharge Air Flow,Supply Air Flow
104,MeasurementProperty>Flow>Air Flow,Exhaust Air Flow,
105,MeasurementProperty>Flow>Air Flow,Fan Air Flow,
106,MeasurementProperty>Flow>Air Flow,Outside Air Flow,
107,MeasurementProperty>Flow>Air Flow,Return Air Flow,
108,MeasurementProperty>Flow>Air Flow>Discharge Air Flow,Supply Fan Air Flow,
109,MeasurementProperty>Flow>Air Flow>Exhaust Air Flow,Exhaust Air Stack Flow,
110,MeasurementProperty>Flow>Air Flow>Return Air Flow,Return Fan Air Flow,
111,MeasurementProperty>Flow>Water Flow,Chilled Water Supply Flow,
112,MeasurementProperty>Frequency,Output Frequency,
113,MeasurementProperty>Grains,Outside Air Grains,
114,MeasurementProperty>Grains,Return Air Grains,
115,MeasurementProperty>Humidity,Outside Air Humidity,
116,MeasurementProperty>Humidity,Relative Humidity,
117,MeasurementProperty>Humidity,Return Air Humidity,
118,MeasurementProperty>Piezoelectric,Exhaust Fan Piezoelectric,
119,MeasurementProperty>Piezoelectric,Supply Fan Piezoelectric,
120,MeasurementProperty>Position,Damper Position,
121,MeasurementProperty>Power,Motor Power,
122,MeasurementProperty>Pressure,Static Pressure,
123,MeasurementProperty>Pressure>Differential Pressure,Chilled Water Differential Pressure,
124,MeasurementProperty>Pressure>Differential Pressure,Filter Differential Pressure,
125,MeasurementProperty>Pressure>Differential Pressure,Heat Wheel Differential Pressure,
126,MeasurementProperty>Pressure>Differential Pressure,Hot Water Differential Pressure,
127,MeasurementProperty>Pressure>Differential Pressure>Hot Water Differential Pressure,Medium Temperature Hot Water Differential Pressure,
128,MeasurementProperty>Pressure>Velocity Pressure,Discharge Air Velocity Pressure,Supply Air Velocity Pressure
129,MeasurementProperty>Pressure>Velocity Pressure,Exhaust Air Velocity Pressure,
130,MeasurementProperty>Speed,Heat Wheel Speed,
131,MeasurementProperty>Speed,Motor Speed,
132,MeasurementProperty>Speed,Wind Speed,
133,MeasurementProperty>Temperature,Chilled Water Discharge Temperature,Chilled Water Supply Temperature
134,MeasurementProperty>Temperature,Chilled Water Return Temperature,
135,MeasurementProperty>Temperature,Cold Box Temperature,
136,MeasurementProperty>Temperature,CRAC Temperature,
137,MeasurementProperty>Temperature,Discharge Air Temperature,Supply Air Temperature
138,MeasurementProperty>Temperature,Domestic Hot Water Supply Temperature,
139,MeasurementProperty>Temperature,Drive Temperature,
140,MeasurementProperty>Temperature,Environment Box Temperature,
141,MeasurementProperty>Temperature,Exhaust Air Temperature,
142,MeasurementProperty>Temperature,Freezer Temperature,
143,MeasurementProperty>Temperature,Heat Exchanger Supply Water Temperature,
144,MeasurementProperty>Temperature,Hot Box Temperature,
145,MeasurementProperty>Temperature,Hot Water Return Temperature,
146,MeasurementProperty>Temperature,Hot Water Supply Temperature,
147,MeasurementProperty>Temperature,Outside Air Temperature,
148,MeasurementProperty>Temperature,Room Temperature,
149,MeasurementProperty>Temperature,Water Supply Temperature,
150,MeasurementProperty>Temperature,Zone Temperature,
151,MeasurementProperty>Temperature>Differential Temperature,Chilled Water Supply Return Differential Temperature,
152,MeasurementProperty>Temperature,Heat Wheel Discharge Air Temperature,Heat Wheel Supply Air Temperature
153,MeasurementProperty>Temperature,Preheat Discharge Air Temperature,Preheat Supply Air Temperature
154,MeasurementProperty>Temperature>Hot Water Return Temperature,High Temperature Hot Water Return Temperature,
155,MeasurementProperty>Temperature>Hot Water Return Temperature,Medium Temperature Hot Water Return Temperature,
156,MeasurementProperty>Temperature>Hot Water Supply Temperature,High Temperature Hot Water Supply Temperature,
157,MeasurementProperty>Temperature>Hot Water Supply Temperature,Medium Temperature Hot Water Supply Temperature,
158,MeasurementProperty>Time,Run Time,Running Hour
159,MeasurementProperty>Torque,Motor Torque,
160,MeasurementProperty>Voltage,Battery Voltage,
161,MeasurementProperty>Voltage,DC Bus Voltage,
162,MeasurementProperty>Voltage,Heat Wheel Voltage,
163,MeasurementProperty>Voltage,Output Voltage,VFD Voltage
164,Point>Alarm,Air Flow Loss Alarm,
165,Point>Alarm,Change Filter Alarm,
166,Point>Alarm,CO2 High Alarm,
167,Point>Alarm,Communication Loss Alarm,
168,Point>Alarm,Compressor Overload Alarm,
169,Point>Alarm,Condensate Leak Alarm,
170,Point>Alarm,Condensate Leak Alarm,
171,Point>Alarm,Deionised Water Alarm,DI Water Alarm
172,Point>Alarm,Discharge Air Smoke Detected Alarm,Supply Air Smoke Detected Alarm
173,Point>Alarm,Discharge Air Temperature High Limit Alarm,Supply Air Temperature High Limit Alarm
174,Point>Alarm,Emergency Generator Alarm,
175,Point>Alarm,Emergency Power Loss Alarm,
176,Point>Alarm,Fan Overload Alarm,
177,Point>Alarm,Fume Hood Alarm,
178,Point>Alarm,High Head Pressure Alarm,
179,Point>Alarm,High Humidity Alarm,
180,Point>Alarm,High Temperature Alarm,
181,Point>Alarm,Hot Water Pump Alarm,
182,Point>Alarm,Humidifier Alarm,
183,Point>Alarm,Humidifier Panel No Water Alarm,
184,Point>Alarm,Liquid Detected Alarm,
185,Point>Alarm,Low Humidity Alarm,
186,Point>Alarm,Low Suction Pressure Alarm,
187,Point>Alarm,Low Temperature Alarm,
188,Point>Alarm,Luminance Alarm,
189,Point>Alarm,Maintenance Required Alarm,
190,Point>Alarm,Power Loss Alarm,
191,Point>Alarm,Pump Alarm,
192,Point>Alarm,Return Air Temperature High Limit Alarm,
193,Point>Alarm,Return Air Temperature Low Limit Alarm,
194,Point>Alarm,Short Cycle Alarm,
195,Point>Alarm,Smoke Detected Alarm,
196,Point>Alarm,Unit Failed Alarm,
197,Point>Alarm,VFD Alarm,
198,Point>Alarm,Water Loss Alarm,
199,Point>Alarm>Failure Alarm,Chiller Failure Alarm,
200,Point>Alarm>Temperature Alarm,Chiller Supply Water Temperature Alarm,Chiller Discharge Water Temperature Alarm
201,Point>Command,Cooling Command,
202,Point>Command>Override Command,Curtailment Override Command,
203,Point>Command,Damper Command,
204,Point>Command,Discharge Air Flow Command,Supply Air Flow Command
205,Point>Command,Emergency Power Off Command,
206,Point>Command,Emergency Power Off Switch Command,
207,Point>Command,Enable Command,
208,Point>Command,Disable Command,
209,Point>Command,Frequency Command,
210,Point>Command,Heating Command,
211,Point>Command,Humidify Command,
212,Point>Command,Load Shed Command,
213,Point>Command,Luminance Command,
214,Point>Command,Occupancy Command,Occupied Command
215,Point>Command,Panel Lockout Command,
216,Point>Command>Pump Command,Pump Lead Lag Command,
217,Point>Command>Pump Command,Pump Lead On Off Command,
218,Point>Command,Start Stop Command,
219,Point>Command,Valve Command,
220,Point>Command,Emergency Air Flow Command,
221,Point>Command>Cooling Command,Highest Zone Cooling Command,
222,Point>Command>Damper Command,Economizer Damper Command,
223,Point>Command>Damper Command,Exhaust Bypass Damper Command,
224,Point>Command>Damper Command,Mixed Air Damper Position Command,
225,Point>Command>Damper Command,Outside Air Damper Position Command,
226,Point>Command>Direction Command,Motor Direction Command,
227,Point>Command>Direction Command,Run Direction Command,
228,Point>Command>Enable Command,VFD Enable Command,
229,Point>Command>Enable Command,System Enable Command,
230,Point>Command>Enable Command,Chilled Water System Enable Command,
231,Point>Command>Enable Command,Domestic Hot Water System Enable Command,
232,Point>Command>Enable Command,Exhaust Fan Enable Command,
233,Point>Command>Enable Command,Exhaust Fan System Enable Command,
234,Point>Command>Enable Command,Hot Water System Enable Command,
235,Point>Command>Enable Command,Run Enable Command,
236,Point>Command>Disable Command,Exhaust Fan Disable Command,
237,Point>Command>Fans Stage Command,Building Exhaust Fans Stage Command,
238,Point>Command>Fire Control Panel Command,Fire Control Panel Off Command,
239,Point>Command>Fire Control Panel Command,Exhaust Fan Fire Control Panel Off Command,
240,Point>Command>Fire Control Panel Command,Fire Control Panel On Command,
241,Point>Command>Fire Control Panel Command,Exhaust Fan Fire Control Panel On Command,
242,Point>Command>Frequency Command,Max Frequency Command,
243,Point>Command>Load Shed Command,Standby Load Shed Command,
244,Point>Command>Load Shed Command,Unoccupied Load Shed Command,
245,Point>Command>Load Shed Command>Standby Load Shed Command,Zone Standby Load Shed Command,
246,Point>Command>Load Shed Command>Unoccupied Load Shed Command,Zone Unoccupied Load Shed Command,
247,Point>Command>Mode Command,Automatic Mode Command,
248,Point>Command>Mode Command,Maintenance Mode Command,
249,Point>Command>Mode Command,Box Mode Command,
250,Point>Command>On Off Command,Steam On Off Command,
251,Point>Command>Pump Command,Chilled Water Pump Lead Lag Command,
252,Point>Command>Pump Command,Hot Water Pump Lead Lag Command,
253,Point>Command>Request Command,Run Request Command,
254,Point>Command>Reset Command,Fault Reset Command,
255,Point>Command>Reset Command,Filter Reset Command,
256,Point>Command>Reset Command,Speed Reset Command,
257,Point>Command>Shutdown Command,Shutdown Hot Water When Unoccupied Command,
258,Point>Status,System Status,
259,Point>Status,VFD Status,
260,Point>Command>Shutdown Command,System Shutdown Command,
261,Point>Command,VFD Speed Command,
262,Point>Command>VFD Speed Command,Chilled Water Pump VFD Speed Command,
263,Point>Command>VFD Speed Command,Hot Water Pump VFD Speed Command,
264,Point>Status>VFD Speed Status,Return Fan VFD Speed Status,
265,Point>Status>VFD Speed Status,Supply Fan VFD Speed Status,Discharge Fan VFD Speed Status
266,Point>Setpoint>VFD Speed Setpoint,Return Fan VFD Speed Setpoint,
267,Point>Setpoint>VFD Speed Setpoint,Supply Fan VFD Speed Setpoint,Discharge Fan VFD Speed Setpoint
268,Point>Command>VFD Speed Command,Exhaust Fan VFD Speed Command,
269,Point>Command>VFD Speed Command,Return Fan VFD Speed Command,
270,Point>Command>VFD Speed Command,Supply Fan VFD Speed Command,Discharge Fan VFD Speed Command
271,Point>Sensor>VFD Speed Sensor,Return Fan VFD Speed Sensor,
272,Point>Sensor>VFD Speed Sensor,Supply Fan VFD Speed Sensor,Discharge Fan VFD Speed Sensor
273,Point>Command>Reset Command,Fan Speed Reset Command,
274,Point>Command>Booster Command,Booster Fan Command,
275,Point>Command>Start Stop Command,Booster Fan Start Stop Command,
276,Point>Command>Pump Command,Chilled Water Pump Command,
277,Point>Command>Start Stop Command,Chilled Water Pump Start Stop Command,
278,Point>Command>Start Stop Command,Pump Start Stop Command,
279,Point>Command>Start Stop Command,Domestic Hot Water System Start Stop Command,
280,Point>Command>Fan Command,Exhaust Fan Command,
281,Point>Command>Start Stop Command,Exhaust Fan Start Stop Command,
282,Point>Command>Start Stop Command,Hot Water Pump Start Stop Command,
283,Point>Command>Start Stop Command,Motor Start Stop Command,
284,Point>Command>Start Stop Command,Pump Start Stop Command,
285,Point>Command>Fan Command,Return Fan Command,
286,Point>Command>Start Stop Command,Return Fan Start Stop Command,
287,Point>Command>Fan Command,Supply Fan Command,Discharge Fan Command
288,Point>Command>Start Stop Command,Supply Fan Start Stop Command,Discharge Fan Start Stop Command
289,Point>Command>Start Stop Command,Heat Exchanger Start Stop Command,
290,Point>Command>Valve Command,Chilled Water Bypass Valve Command,
291,Point>Command>Valve Command,Cooling Valve Command,
292,Point>Command>Valve Command,Hot Water Valve Command,
293,Point>Command>Valve Command,Domestic Hot Water Valve Command,
294,Point>Command>Valve Command,Heat Exchanger Valve Command,
295,Point>Command>Valve Command,Heating Valve Command,
296,Point>Command>Valve Command,Perimeter Heating Valve Command,
297,Point>Command>Valve Command,Reheat Valve Command,
298,Point>Command>Valve Command,PreHeat Valve Command,
299,Point>Command>Valve Command,Return Air Preheat Valve Command,
300,Point>Command>Valve Command,Return Heat Valve Command,
301,Point>Meter,Power Meter,
302,Point>Meter,Gas Meter,
303,Point>Meter,Water Meter,
304,Point>Meter>Energy Meter,Peak Energy Today Meter,
305,Point>Meter>Flow Meter,Hot Water Flow Meter,
306,Point>Meter>Power Meter,Electrical Power Meter,
307,Point>Meter>Power Meter,Motor Power Meter,
308,Point>Meter>Power Meter,Thermal Power Meter,
309,Point>Meter>Power Meter>Thermal Power Meter,Cooling Thermal Power Meter,
310,Point>Meter>Power Meter>Thermal Power Meter,Heating Thermal Power Meter,
311,Point>Meter>Steam Usage Meter,Current Steam Usage Meter,
312,Point>Meter>Steam Usage Meter,Monthly Steam Usage Meter,
313,Point>Meter>Steam Usage Meter,Steam Usage Today Meter,
314,Point>Meter>Steam Usage Meter,Yearly Steam Usage Meter,
315,Point>Meter>Water Meter,Chilled Water Meter,
316,Point>Meter>Water Meter,Hot Water Meter,
317,Point>Sensor,Average Cooling Demand Sensor,
318,Point>Sensor,CO2 Differential Sensor,
319,Point>Sensor,CO2 Level Sensor,
320,Point>Sensor,CO2 Sensor,
321,Point>Sensor,Damper Position Sensor,
322,Point>Sensor,Energy Sensor,
323,Point>Sensor,Flow Sensor,
324,Point>Sensor,Frost Sensor,
325,Point>Sensor,Hail Sensor,
326,Point>Sensor,Humidity Sensor,
327,Point>Sensor,Outside Luminance Sensor,
328,Point>Setpoint,CO2 Setpoint,
329,Point>Setpoint,Luminance Setpoint,
330,Point>Sensor,Luminance Sensor,
331,Point>Sensor,Occupancy Sensor,
332,Point>Sensor,Pressure Sensor,
333,Point>Sensor,Rain Duration Sensor,
334,Point>Sensor,Rain Sensor,
335,Point>Sensor,Run Time Sensor,
336,Point>Sensor,Running Hour Sensor,
337,Point>Sensor,Solar Radiance Sensor,
338,Point>Sensor,Temperature Sensor,
339,Point>Sensor,Thermostat Adjust Sensor,
340,Point>Sensor,Trace Heat Sensor,
341,Point>Sensor,Warm Cool Adjust Sensor,
342,Point>Sensor,Current Sensor,
